序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,601838,成都银行,9.23,1128.38,19396.77,2025年1季度股票投资明细
2,600036,招商银行,8.91,432.24,18711.67,2025年1季度股票投资明细
3,002078,太阳纸业,8.62,1230.5,18100.64,2025年1季度股票投资明细
4,600060,海信视像,7.42,627.74,15580.59,2025年1季度股票投资明细
5,603699,纽威股份,7.22,544.68,15158.32,2025年1季度股票投资明细
6,600309,万华化学,6.79,212.35,14272.31,2025年1季度股票投资明细
7,01308,海丰国际,6.02,648.4,12655.38,2025年1季度股票投资明细
8,000528,柳工,5.89,1105.88,12363.75,2025年1季度股票投资明细
9,01818,招金矿业,5.14,755.25,10789.05,2025年1季度股票投资明细
10,300628,亿联网络,5.12,263.29,10750.24,2025年1季度股票投资明细
11,600036,招商银行,9.72,432.24,19861.43,2025年2季度股票投资明细
12,601838,成都银行,9.72,987.42,19847.04,2025年2季度股票投资明细
13,603699,纽威股份,7.44,487.71,15201.79,2025年2季度股票投资明细
14,01818,招金矿业,6.88,755.25,14050.5,2025年2季度股票投资明细
15,01308,海丰国际,6.68,595.3,13653.53,2025年2季度股票投资明细
16,002078,太阳纸业,6.56,995.98,13405.9,2025年2季度股票投资明细
17,600060,海信视像,6.55,581.1,13377.0,2025年2季度股票投资明细
18,000528,柳工,5.2,1105.88,10627.52,2025年2季度股票投资明细
19,300628,亿联网络,5.19,305.03,10602.94,2025年2季度股票投资明细
20,600282,南钢股份,4.75,2309.0,9697.8,2025年2季度股票投资明细
21,600585,海螺水泥,4.6,437.97,9403.22,2025年2季度股票投资明细
22,01787,山东黄金,3.72,305.83,7599.95,2025年2季度股票投资明细
23,00960,龙湖集团,3.7,893.9,7548.68,2025年2季度股票投资明细
24,600988,赤峰黄金,3.5,287.65,7156.63,2025年2季度股票投资明细
25,000002,万科A,3.21,1022.74,6565.97,2025年2季度股票投资明细
26,601899,紫金矿业,3.03,317.64,6193.98,2025年2季度股票投资明细
27,600486,扬农化工,2.39,84.23,4885.51,2025年2季度股票投资明细
28,01308,海丰国际,7.99,593.1,16222.99,2025年3季度股票投资明细
29,601838,成都银行,7.97,937.92,16179.04,2025年3季度股票投资明细
30,600060,海信视像,6.9,581.1,14016.22,2025年3季度股票投资明细
31,603699,纽威股份,6.85,310.4,13908.83,2025年3季度股票投资明细
32,601899,紫金矿业,6.5,448.2,13195.01,2025年3季度股票投资明细
33,01818,招金矿业,6.0,427.1,12189.33,2025年3季度股票投资明细
34,600282,南钢股份,5.97,2309.0,12122.25,2025年3季度股票投资明细
35,600036,招商银行,5.84,293.65,11866.23,2025年3季度股票投资明细
36,300628,亿联网络,5.56,305.03,11286.21,2025年3季度股票投资明细
37,600988,赤峰黄金,5.39,370.04,10945.66,2025年3季度股票投资明细
