序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
76,688728,格科微,1.03,1853.27,28540.37,2025年2季度股票投资明细
77,688484,南芯科技,1.0,705.92,27919.06,2025年2季度股票投资明细
78,688200,华峰测控,1.0,192.75,27793.89,2025年2季度股票投资明细
79,688498,源杰科技,1.0,142.37,27761.82,2025年2季度股票投资明细
80,688082,盛美上海,0.86,209.7,23892.81,2025年2季度股票投资明细
81,688234,天岳先进,0.86,407.9,23882.76,2025年2季度股票投资明细
82,688110,东芯股份,0.81,732.33,22453.24,2025年2季度股票投资明细
83,688141,杰华特,0.75,636.77,20745.94,2025年2季度股票投资明细
84,688279,峰岹科技,0.73,109.31,20277.65,2025年2季度股票投资明细
85,688409,富创精密,0.72,363.54,19998.58,2025年2季度股票投资明细
86,688702,盛科通信,0.64,291.81,17823.54,2025年2季度股票投资明细
87,688362,甬矽电子,0.62,581.89,17328.7,2025年2季度股票投资明细
88,688798,艾为电子,0.54,221.18,15084.72,2025年2季度股票投资明细
89,688709,成都华微,0.53,452.79,14824.24,2025年2季度股票投资明细
90,688352,颀中科技,0.45,1126.25,12647.83,2025年2季度股票投资明细
91,688332,中科蓝讯,0.42,114.23,11774.68,2025年2季度股票投资明细
92,688172,燕东微,0.4,569.99,11205.98,2025年2季度股票投资明细
93,688146,中船特气,0.39,376.96,10897.92,2025年2季度股票投资明细
94,688549,中巨芯,0.39,1397.78,10818.85,2025年2季度股票投资明细
95,688107,安路科技,0.39,380.38,10741.89,2025年2季度股票投资明细
96,688432,有研硅,0.35,885.43,9775.2,2025年2季度股票投资明细
97,688584,上海合晶,0.3,472.53,8448.91,2025年2季度股票投资明细
98,688153,唯捷创芯,0.23,204.13,6330.02,2025年2季度股票投资明细
99,688775,影石创新,0.0,0.06,7.11,2025年2季度股票投资明细
100,688411,海博思创,0.0,0.06,4.68,2025年2季度股票投资明细
101,603049,中策橡胶,0.0,0.07,3.1,2025年2季度股票投资明细
102,688545,兴福电子,0.0,0.1,2.68,2025年2季度股票投资明细
103,688757,胜科纳米,0.0,0.05,1.39,2025年2季度股票投资明细
104,603014,威高血净,0.0,0.02,0.67,2025年2季度股票投资明细
105,603400,华之杰,0.0,0.01,0.25,2025年2季度股票投资明细
106,688041,海光信息,11.09,1773.2,447910.83,2025年3季度股票投资明细
107,688008,澜起科技,9.96,2599.58,402415.37,2025年3季度股票投资明细
108,688981,中芯国际,9.58,2760.9,386885.41,2025年3季度股票投资明细
109,688256,寒武纪,8.59,262.07,347243.15,2025年3季度股票投资明细
110,688012,中微公司,7.35,993.7,297107.35,2025年3季度股票投资明细
111,688521,芯原股份,3.61,796.44,145748.74,2025年3季度股票投资明细
112,688347,华虹公司,2.63,925.89,106070.03,2025年3季度股票投资明细
113,688126,沪硅产业,2.39,3744.28,96602.4,2025年3季度股票投资明细
114,688120,华海清科,2.29,560.6,92611.12,2025年3季度股票投资明细
115,688099,晶晨股份,2.11,765.29,85084.68,2025年3季度股票投资明细
116,688072,拓荆科技,2.04,317.57,82625.28,2025年3季度股票投资明细
117,688525,佰维存储,1.89,733.68,76522.75,2025年3季度股票投资明细
118,688213,思特威,1.88,639.05,76149.76,2025年3季度股票投资明细
119,688110,东芯股份,1.86,703.25,75177.28,2025年3季度股票投资明细
120,688002,睿创微纳,1.81,827.18,73155.98,2025年3季度股票投资明细
121,688396,华润微,1.66,1206.21,67004.95,2025年3季度股票投资明细
122,688249,晶合集成,1.57,1822.99,63531.07,2025年3季度股票投资明细
123,688220,翱捷科技,1.56,569.89,62973.05,2025年3季度股票投资明细
124,688019,安集科技,1.51,266.6,60901.28,2025年3季度股票投资明细
125,688361,中科飞测,1.46,508.59,59012.24,2025年3季度股票投资明细
126,688498,源杰科技,1.45,136.1,58386.73,2025年3季度股票投资明细
127,688037,芯源微,1.35,365.39,54443.04,2025年3季度股票投资明细
128,688385,复旦微电,1.21,731.77,48772.69,2025年3季度股票投资明细
129,688018,乐鑫科技,1.15,213.4,46278.42,2025年3季度股票投资明细
130,688052,纳芯微,1.12,225.9,45176.26,2025年3季度股票投资明细
131,688082,盛美上海,1.0,199.83,40326.54,2025年3季度股票投资明细
132,688200,华峰测控,0.95,183.91,38308.45,2025年3季度股票投资明细
133,688536,思瑞浦,0.9,210.64,36512.25,2025年3季度股票投资明细
134,688702,盛科通信,0.87,279.31,35338.58,2025年3季度股票投资明细
135,688141,杰华特,0.87,608.4,35317.72,2025年3季度股票投资明细
136,688582,芯动联科,0.86,454.89,34867.68,2025年3季度股票投资明细
137,688484,南芯科技,0.86,675.43,34845.65,2025年3季度股票投资明细
138,688409,富创精密,0.64,347.52,25813.63,2025年3季度股票投资明细
139,688279,峰岹科技,0.63,104.73,25471.36,2025年3季度股票投资明细
140,688709,成都华微,0.51,432.82,20775.12,2025年3季度股票投资明细
141,688798,艾为电子,0.48,211.26,19526.62,2025年3季度股票投资明细
142,688332,中科蓝讯,0.44,109.26,17919.68,2025年3季度股票投资明细
143,688172,燕东微,0.44,647.95,17773.24,2025年3季度股票投资明细
144,688146,中船特气,0.39,360.16,15832.83,2025年3季度股票投资明细
145,688352,颀中科技,0.39,1078.17,15590.34,2025年3季度股票投资明细
146,688549,中巨芯,0.33,1332.55,13218.9,2025年3季度股票投资明细
147,688584,上海合晶,0.29,452.65,11651.2,2025年3季度股票投资明细
148,688432,有研硅,0.29,847.25,11565.02,2025年3季度股票投资明细
149,688449,联芸科技,0.26,156.58,10303.25,2025年3季度股票投资明细
150,688153,唯捷创芯,0.17,194.94,6901.05,2025年3季度股票投资明细
151,688605,先锋精科,0.17,92.15,6839.06,2025年3季度股票投资明细
152,688775,影石创新,0.0,0.06,15.16,2025年3季度股票投资明细
153,688729,屹唐股份,0.0,0.35,8.24,2025年3季度股票投资明细
154,603049,中策橡胶,0.0,0.07,3.59,2025年3季度股票投资明细
155,603418,友升股份,0.0,0.01,0.78,2025年3季度股票投资明细
156,603014,威高血净,0.0,0.02,0.77,2025年3季度股票投资明细
